ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail
769456276704128,FFI,4.0,1425.599419,True,True
769456276704128,FFI,31.0,475.19979,True,True
769456276704128,SPOC,,[120.] s,True,True
769456276704128,SPOC,,[120.] s,True,True
16302463200535040,FFI,31.0,475.19979,True,True
16302463200535040,FFI,42.0,475.199778,True,True
16302463200535040,FFI,43.0,475.19979,True,True
16302463200535040,FFI,44.0,475.19979,True,True
16302463200535040,FFI,70.0,158.399927,True,True
16302463200535040,FFI,71.0,158.39993,True,True
16302463200535040,SPOC,,[20.] s,True,True
16302463200535040,SPOC,,[120.] s,True,True
16302463200535040,SPOC,,[120.] s,True,True
16302463200535040,SPOC,,[120.] s,True,True
16302463200535040,SPOC,,[120.] s,True,True
18986817760556416,FFI,4.0,1425.599419,True,True
18986817760556416,FFI,31.0,475.19979,True,True
18986817760556416,FFI,42.0,475.199778,True,True
18986817760556416,FFI,43.0,475.19979,True,True
18986817760556416,FFI,70.0,158.399927,True,True
18986817760556416,FFI,71.0,158.39993,True,True
18986817760556416,SPOC,,[120.] s,True,True
18986817760556416,SPOC,,[120.] s,True,True
18986817760556416,SPOC,,[120.] s,True,True
18986817760556416,SPOC,,[120.] s,True,True
18986817760556416,SPOC,,[120.] s,True,True
35398295820372864,FFI,42.0,475.199778,True,False
35398295820372864,FFI,43.0,475.19979,True,False
35398295820372864,FFI,44.0,475.19979,True,False
35398295820372864,FFI,70.0,158.399927,True,False
35398295820372864,FFI,71.0,158.39993,True,False
57739208163471744,FFI,42.0,475.199778,True,True
57739208163471744,FFI,43.0,475.19979,True,True
57739208163471744,FFI,70.0,158.399927,True,True
57739208163471744,FFI,71.0,158.39993,True,True
57739208163471744,SPOC,,[120.] s,True,True
57739208163471744,SPOC,,[120.] s,True,True
68553931516671488,FFI,42.0,475.199778,True,True
68553931516671488,FFI,43.0,475.19979,True,True
68553931516671488,FFI,44.0,475.19979,True,True
68553931516671488,FFI,70.0,158.399927,True,True
68553931516671488,FFI,71.0,158.39993,True,True
68553931516671488,SPOC,,[120.] s,True,True
68553931516671488,SPOC,,[120.] s,True,True
68553931516671488,SPOC,,[120.] s,True,True
68553931516671488,SPOC,,[120.] s,True,True
68553931516671488,SPOC,,[120.] s,True,True
72117556076986368,FFI,42.0,475.199778,True,True
72117556076986368,FFI,43.0,475.19979,True,True
72117556076986368,FFI,70.0,158.399927,True,True
72117556076986368,FFI,71.0,158.39993,True,True
72117556076986368,SPOC,,[120.] s,True,True
72117556076986368,SPOC,,[120.] s,True,True
72117556076986368,SPOC,,[120.] s,True,True
72117556076986368,SPOC,,[120.] s,True,True
72354810070468224,FFI,42.0,475.199778,True,True
72354810070468224,FFI,43.0,475.19979,True,True
72354810070468224,FFI,70.0,158.399927,True,True
72354810070468224,FFI,71.0,158.39993,True,True
72354810070468224,SPOC,,[120.] s,True,True
72354810070468224,SPOC,,[120.] s,True,True
89593331327905536,FFI,18.0,1425.599399,True,True
89593331327905536,FFI,42.0,475.199778,True,True
89593331327905536,FFI,43.0,475.19979,True,True
89593331327905536,FFI,44.0,475.19979,True,True
89593331327905536,FFI,70.0,158.399927,True,True
89593331327905536,FFI,71.0,158.39993,True,True
89593331327905536,SPOC,,[120.] s,True,True
89593331327905536,SPOC,,[20.] s,True,True
89593331327905536,SPOC,,[20.] s,True,True
89593331327905536,SPOC,,[20.] s,True,True
89593331327905536,SPOC,,[120.] s,True,True
89593331327905536,SPOC,,[120.] s,True,True
89593331327905536,SPOC,,[120.] s,True,True
91196316201965184,FFI,42.0,475.199778,True,True
91196316201965184,FFI,43.0,475.19979,True,True
91196316201965184,FFI,70.0,158.399927,True,True
91196316201965184,FFI,71.0,158.39993,True,True
91196316201965184,SPOC,,[120.] s,True,True
91196316201965184,SPOC,,[120.] s,True,True
97334889619799168,FFI,17.0,1425.599381,True,True
97334889619799168,FFI,42.0,475.199778,True,True
97334889619799168,FFI,43.0,475.19979,True,True
97334889619799168,FFI,70.0,158.399927,True,True
97334889619799168,FFI,71.0,158.39993,True,True
97334889619799168,SPOC,,[120.] s,True,True
97334889619799168,SPOC,,[120.] s,True,True
97334889619799168,SPOC,,[120.] s,True,True
97334889619799168,SPOC,,[120.] s,True,True
97334889619799168,SPOC,,[120.] s,True,True
97993497084921984,FFI,17.0,1425.599381,True,True
97993497084921984,FFI,42.0,475.199778,True,True
97993497084921984,FFI,43.0,475.19979,True,True
97993497084921984,FFI,57.0,158.399928,True,True
97993497084921984,FFI,70.0,158.399927,True,True
97993497084921984,FFI,71.0,158.39993,True,True
97993497084921984,FFI,84.0,158.399927,True,True
97993497084921984,SPOC,,[120.] s,True,True
97993497084921984,SPOC,,[120.] s,True,True
97993497084921984,SPOC,,[120.] s,True,True
97993497084921984,SPOC,,[120.] s,True,True
117709729140217216,FFI,18.0,1425.599399,True,True
117709729140217216,FFI,42.0,475.199778,True,True
117709729140217216,FFI,43.0,475.19979,True,True
117709729140217216,FFI,44.0,475.19979,True,True
117709729140217216,FFI,70.0,158.399927,True,True
117709729140217216,FFI,71.0,158.39993,True,True
117709729140217216,SPOC,,[120.] s,True,True
117709729140217216,SPOC,,[120.] s,True,True
117709729140217216,SPOC,,[120.] s,True,True
117709729140217216,SPOC,,[120.] s,True,True
117709729140217216,SPOC,,[120.] s,True,True
117709729140217216,SPOC,,[120.] s,True,True
308828253324985984,FFI,17.0,1425.599381,True,True
308828253324985984,FFI,57.0,158.399928,True,True
308828253324985984,FFI,84.0,158.399927,True,True
308828253324985984,SPOC,,[120.] s,True,True
308828253324985984,SPOC,,[120.] s,True,True
327944328126649856,FFI,18.0,1425.599399,True,True
327944328126649856,FFI,58.0,158.399926,True,True
327944328126649856,FFI,85.0,158.399927,True,True
327944328126649856,SPOC,,[120.] s,True,True
327944328126649856,SPOC,,[20.] s,True,True
327944328126649856,SPOC,,[120.] s,True,True
327944328126649856,SPOC,,[120.] s,True,True
348020242217448576,FFI,17.0,1425.599381,True,False
348020242217448576,FFI,18.0,1425.599399,True,False
348020242217448576,FFI,58.0,158.399926,True,False
348020242217448576,FFI,85.0,158.399927,True,False
373838214051410816,FFI,17.0,1425.599381,True,True
