ID,Sector,Exposure_Time,FFI,SPOC
769456276704128,4.0,1425.599419,True,False
769456276704128,31.0,475.19979,True,False
16302463200535040,31.0,475.19979,True,True
16302463200535040,42.0,475.199778,True,True
16302463200535040,43.0,475.19979,True,True
16302463200535040,44.0,475.19979,True,True
16302463200535040,70.0,158.399927,True,True
16302463200535040,71.0,158.39993,True,True
18986817760556416,4.0,1425.599419,True,False
18986817760556416,31.0,475.19979,True,False
18986817760556416,42.0,475.199778,True,False
18986817760556416,43.0,475.19979,True,False
18986817760556416,70.0,158.399927,True,False
18986817760556416,71.0,158.39993,True,False
35398295820372864,42.0,475.199778,True,False
35398295820372864,43.0,475.19979,True,False
35398295820372864,44.0,475.19979,True,False
35398295820372864,70.0,158.399927,True,False
35398295820372864,71.0,158.39993,True,False
57739208163471744,42.0,475.199778,True,True
57739208163471744,43.0,475.19979,True,True
57739208163471744,70.0,158.399927,True,True
57739208163471744,71.0,158.39993,True,True
68553931516671488,42.0,475.199778,True,True
68553931516671488,43.0,475.19979,True,True
68553931516671488,44.0,475.19979,True,True
68553931516671488,70.0,158.399927,True,True
68553931516671488,71.0,158.39993,True,True
72117556076986368,42.0,475.199778,True,False
72117556076986368,43.0,475.19979,True,False
72117556076986368,70.0,158.399927,True,False
72117556076986368,71.0,158.39993,True,False
72354810070468224,42.0,475.199778,True,True
72354810070468224,43.0,475.19979,True,True
72354810070468224,70.0,158.399927,True,True
72354810070468224,71.0,158.39993,True,True
89593331327905536,18.0,1425.599399,True,False
89593331327905536,42.0,475.199778,True,False
89593331327905536,43.0,475.19979,True,False
89593331327905536,44.0,475.19979,True,False
89593331327905536,70.0,158.399927,True,False
89593331327905536,71.0,158.39993,True,False
91196316201965184,42.0,475.199778,True,True
91196316201965184,43.0,475.19979,True,True
91196316201965184,70.0,158.399927,True,True
91196316201965184,71.0,158.39993,True,True
97334889619799168,17.0,1425.599381,True,False
97334889619799168,42.0,475.199778,True,False
97334889619799168,43.0,475.19979,True,False
97334889619799168,70.0,158.399927,True,False
97334889619799168,71.0,158.39993,True,False
97993497084921984,17.0,1425.599381,True,False
97993497084921984,42.0,475.199778,True,False
97993497084921984,43.0,475.19979,True,False
97993497084921984,57.0,158.399928,True,False
97993497084921984,70.0,158.399927,True,False
97993497084921984,71.0,158.39993,True,False
97993497084921984,84.0,158.399927,True,False
117709729140217216,18.0,1425.599399,True,True
117709729140217216,42.0,475.199778,True,True
117709729140217216,43.0,475.19979,True,True
117709729140217216,44.0,475.19979,True,True
117709729140217216,70.0,158.399927,True,True
117709729140217216,71.0,158.39993,True,True
308828253324985984,17.0,1425.599381,True,False
308828253324985984,57.0,158.399928,True,False
308828253324985984,84.0,158.399927,True,False
327944328126649856,18.0,1425.599399,True,False
327944328126649856,58.0,158.399926,True,False
327944328126649856,85.0,158.399927,True,False
348020242217448576,17.0,1425.599381,True,False
348020242217448576,18.0,1425.599399,True,False
348020242217448576,58.0,158.399926,True,False
348020242217448576,85.0,158.399927,True,False
373838214051410816,17.0,1425.599381,True,True
373838214051410816,57.0,158.399928,True,True
373838214051410816,84.0,158.399927,True,True
569821974111727744,19.0,1425.599402,True,False
569821974111727744,20.0,1425.599406,True,False
569821974111727744,26.0,1425.599348,True,False
569821974111727744,25.0,1425.599351,True,False
569821974111727744,40.0,475.199784,True,False
569821974111727744,59.0,158.399928,True,False
569821974111727744,60.0,158.399929,True,False
569821974111727744,53.0,475.199775,True,False
569821974111727744,52.0,475.199781,True,False
569821974111727744,73.0,158.399928,True,False
569821974111727744,79.0,158.399924,True,False
569821974111727744,86.0,158.399926,True,False
769456276704128,4.0,1425.599419,True,False
769456276704128,31.0,475.19979,True,False
16302463200535040,31.0,475.19979,True,True
16302463200535040,42.0,475.199778,True,True
16302463200535040,43.0,475.19979,True,True
16302463200535040,44.0,475.19979,True,True
16302463200535040,70.0,158.399927,True,True
16302463200535040,71.0,158.39993,True,True
18986817760556416,4.0,1425.599419,True,False
18986817760556416,31.0,475.19979,True,False
18986817760556416,42.0,475.199778,True,False
18986817760556416,43.0,475.19979,True,False
18986817760556416,70.0,158.399927,True,False
18986817760556416,71.0,158.39993,True,False
35398295820372864,42.0,475.199778,True,False
35398295820372864,43.0,475.19979,True,False
35398295820372864,44.0,475.19979,True,False
35398295820372864,70.0,158.399927,True,False
35398295820372864,71.0,158.39993,True,False
57739208163471744,42.0,475.199778,True,True
57739208163471744,43.0,475.19979,True,True
57739208163471744,70.0,158.399927,True,True
57739208163471744,71.0,158.39993,True,True
68553931516671488,42.0,475.199778,True,True
68553931516671488,43.0,475.19979,True,True
68553931516671488,44.0,475.19979,True,True
68553931516671488,70.0,158.399927,True,True
68553931516671488,71.0,158.39993,True,True
72117556076986368,42.0,475.199778,True,False
72117556076986368,43.0,475.19979,True,False
72117556076986368,70.0,158.399927,True,False
72117556076986368,71.0,158.39993,True,False
72354810070468224,42.0,475.199778,True,True
72354810070468224,43.0,475.19979,True,True
72354810070468224,70.0,158.399927,True,True
72354810070468224,71.0,158.39993,True,True
89593331327905536,18.0,1425.599399,True,False
89593331327905536,42.0,475.199778,True,False
89593331327905536,43.0,475.19979,True,False
89593331327905536,44.0,475.19979,True,False
89593331327905536,70.0,158.399927,True,False
89593331327905536,71.0,158.39993,True,False
91196316201965184,42.0,475.199778,True,True
91196316201965184,43.0,475.19979,True,True
91196316201965184,70.0,158.399927,True,True
91196316201965184,71.0,158.39993,True,True
97334889619799168,17.0,1425.599381,True,False
97334889619799168,42.0,475.199778,True,False
97334889619799168,43.0,475.19979,True,False
97334889619799168,70.0,158.399927,True,False
97334889619799168,71.0,158.39993,True,False
97993497084921984,17.0,1425.599381,True,False
97993497084921984,42.0,475.199778,True,False
97993497084921984,43.0,475.19979,True,False
97993497084921984,57.0,158.399928,True,False
97993497084921984,70.0,158.399927,True,False
97993497084921984,71.0,158.39993,True,False
97993497084921984,84.0,158.399927,True,False
117709729140217216,18.0,1425.599399,True,True
117709729140217216,42.0,475.199778,True,True
117709729140217216,43.0,475.19979,True,True
117709729140217216,44.0,475.19979,True,True
117709729140217216,70.0,158.399927,True,True
117709729140217216,71.0,158.39993,True,True
308828253324985984,17.0,1425.599381,True,False
308828253324985984,57.0,158.399928,True,False
308828253324985984,84.0,158.399927,True,False
327944328126649856,18.0,1425.599399,True,False
327944328126649856,58.0,158.399926,True,False
327944328126649856,85.0,158.399927,True,False
348020242217448576,17.0,1425.599381,True,False
348020242217448576,18.0,1425.599399,True,False
348020242217448576,58.0,158.399926,True,False
348020242217448576,85.0,158.399927,True,False
373838214051410816,17.0,1425.599381,True,True
373838214051410816,57.0,158.399928,True,True
373838214051410816,84.0,158.399927,True,True
569821974111727744,19.0,1425.599402,True,False
569821974111727744,20.0,1425.599406,True,False
569821974111727744,26.0,1425.599348,True,False
569821974111727744,25.0,1425.599351,True,False
569821974111727744,40.0,475.199784,True,False
569821974111727744,59.0,158.399928,True,False
569821974111727744,60.0,158.399929,True,False
569821974111727744,53.0,475.199775,True,False
569821974111727744,52.0,475.199781,True,False
569821974111727744,73.0,158.399928,True,False
569821974111727744,79.0,158.399924,True,False
569821974111727744,86.0,158.399926,True,False
598180646733241216,7.0,1425.599406,True,True
598180646733241216,46.0,475.199787,True,True
598180646733241216,45.0,475.199789,True,True
598180646733241216,34.0,475.19979,True,True
598180646733241216,44.0,475.19979,True,True
598180646733241216,61.0,158.399927,True,True
598180646733241216,72.0,158.399928,True,True
598180646733241216,88.0,158.399925,True,True
605079910398496640,46.0,475.199787,True,True
605079910398496640,45.0,475.199789,True,True
605079910398496640,44.0,475.19979,True,True
605079910398496640,72.0,158.399928,True,True
615779464207025152,46.0,475.199787,True,True
615779464207025152,45.0,475.199789,True,True
615779464207025152,72.0,158.399928,True,True
617982090939470464,46.0,475.199787,True,True
617982090939470464,45.0,475.199789,True,True
617982090939470464,72.0,158.399928,True,True
619440661833351040,46.0,475.199787,True,True
619440661833351040,45.0,475.199789,True,True
619440661833351040,72.0,158.399928,True,True
622339455521105280,46.0,475.199787,True,True
622339455521105280,45.0,475.199789,True,True
622339455521105280,48.0,475.199789,True,True
622339455521105280,72.0,158.399928,True,True
628080246633611520,21.0,1425.59939,True,False
628080246633611520,46.0,475.199787,True,False
628080246633611520,45.0,475.199789,True,False
628080246633611520,48.0,475.199789,True,False
628865130046268672,46.0,475.199787,True,True
628865130046268672,45.0,475.199789,True,True
628865130046268672,48.0,475.199789,True,True
628865130046268672,72.0,158.399928,True,True
641821259671808896,21.0,1425.59939,True,False
641821259671808896,46.0,475.199787,True,False
641821259671808896,45.0,475.199789,True,False
641821259671808896,48.0,475.199789,True,False
646255246469567232,21.0,1425.59939,True,False
646255246469567232,46.0,475.199787,True,False
646255246469567232,45.0,475.199789,True,False
646255246469567232,44.0,475.19979,True,False
646255246469567232,48.0,475.199789,True,False
646818024623804416,21.0,1425.59939,True,False
646818024623804416,46.0,475.199787,True,False
646818024623804416,45.0,475.199789,True,False
646818024623804416,48.0,475.199789,True,False
656328319169788032,46.0,475.199787,True,False
656328319169788032,45.0,475.199789,True,False
656328319169788032,44.0,475.19979,True,False
656328319169788032,72.0,158.399928,True,False
656328319169788032,71.0,158.39993,True,False
666988221840703232,46.0,475.199787,True,False
666988221840703232,45.0,475.199789,True,False
666988221840703232,44.0,475.19979,True,False
666988221840703232,72.0,158.399928,True,False
666988221840703232,71.0,158.39993,True,False
696501553469122304,21.0,1425.59939,True,False
696501553469122304,48.0,475.199789,True,False
700732474214292096,21.0,1425.59939,True,True
700732474214292096,48.0,475.199789,True,True
704966762213039488,21.0,1425.59939,True,False
704966762213039488,46.0,475.199787,True,False
704966762213039488,44.0,475.19979,True,False
704966762213039488,72.0,158.399928,True,False
706300980915871616,21.0,1425.59939,True,True
706300980915871616,46.0,475.199787,True,True
706300980915871616,45.0,475.199789,True,True
706300980915871616,44.0,475.19979,True,True
706300980915871616,47.0,475.199791,True,True
706300980915871616,72.0,158.399928,True,True
706300980915871616,71.0,158.39993,True,True
709563717249089792,21.0,1425.59939,True,True
709563717249089792,46.0,475.199787,True,True
709563717249089792,45.0,475.199789,True,True
709563717249089792,44.0,475.19979,True,True
709563717249089792,47.0,475.199791,True,True
741275934694972800,21.0,1425.59939,True,False
741275934694972800,48.0,475.199789,True,False
753585104807022080,21.0,1425.59939,True,True
753585104807022080,48.0,475.199789,True,True
758200712885953280,22.0,1425.599393,True,True
758200712885953280,48.0,475.199789,True,True
763973668623022464,22.0,1425.599393,True,True
763973668623022464,48.0,475.199789,True,True
764072689093638528,22.0,1425.599393,True,True
764072689093638528,48.0,475.199789,True,True
765038614353808768,22.0,1425.599393,True,False
765038614353808768,48.0,475.199789,True,False
772430527947893632,22.0,1425.599393,True,False
772430527947893632,48.0,475.199789,True,False
772430527947893632,75.0,158.399924,True,False
788357434914248448,21.0,1425.59939,True,False
788357434914248448,22.0,1425.599393,True,False
788357434914248448,48.0,475.199789,True,False
788357434914248448,75.0,158.399924,True,False
795434510226597760,21.0,1425.59939,True,False
795434510226597760,48.0,475.199789,True,False
